row,platform,case,binding_id,binding,evidence,observer,mechanism,supporting_evidence,native_or_reconstructed,attacker_controls_reported_state,note
WAYLAND Case P,wayland,P,5_resource_to_appstate,displayed resource -> application state,UNKNOWN,none,not instrumented - predeclared out of scope (A9),no field on either platform reports application state,n/a,yes,not tested; nothing here is progress on this edge
WAYLAND Case P,wayland,P,6_appstate_to_claim,application state -> claim,UNKNOWN,none,never attempted,-,n/a,n/a,claim integrity is outside the display layer by construction
X11 Case R,x11,R,1_artifact_to_capture,artifact -> capture,EXACT,TRUSTED_RECORDER_OBSERVED,X11 root-window pixel grab (ImageMagick import),sha256=c4d0da448283da94fabd1d4e48012f13a49c5fc9a59f55d4d2461601e987756c bytes=26233 geometry=1280x1024,platform-native,no,ANY X client with display access can perform this same root grab; the capture path itself is not privileged
X11 Case R,x11,R,2_capture_to_surface,capture -> surface,STRONG,TRUSTED_RECORDER via X11 root grab,root window / full screen,requested_source_type=root window / full screen; contributors=['0x00800004'],reconstructed,yes - the attacker chooses which surfaces exist and how they are stacked,"exactly one surface was enumerated at the capture instant, so the frame can only contain that surface's pixels - by elimination, not by a reported binding. CONTINGENT on the enumeration being COMPLETE: frozen result S2 already falsified that assumption for X11 (a nested Xephyr server makes inner surfaces invisible to the outer recorder), and the analogous nested-compositor attack was NOT tested on Wayland here"
X11 Case R,x11,R,3_surface_to_process,surface -> process/client,EXACT,COMPOSITOR/DISPLAY_SERVER (X server),wmctrl -lpG + xwininfo -root -children + XResQueryClientIds for the owning pid,active_surface=0x00800004 pid=224 pid_source=X-Resource XResQueryClientIds exe=/usr/bin/eog start_identity=224@4917 uid=1000,platform-native via X-Resource extension correlation,"pid/exe: NO (cannot forge, but chooses what to launch); identity string: YES - platform reports 'Eog', which the client asserts",requires XResQueryClientIds correlation; _NET_WM_PID is client-asserted
X11 Case R,x11,R,4_process_to_resource,process/client -> displayed resource,WEAK,"KERNEL/RUNTIME (argv, fds) - NOT the compositor",/proc/<pid>/cmdline and /proc/<pid>/fd at the capture instant,argv='eog /lab/work/quarterly_report.png'; open_regular_files=[]; declared_target=/lab/work/quarterly_report.png; compositor_reported_resource=None,reconstructed,yes - the attacker chooses argv and authors the bytes behind the path,"argv names the declared target path, which is a reconstruction the attacker fully controls; it is not evidence that those bytes were the pixels rendered"
X11 Case R,x11,R,5_resource_to_appstate,displayed resource -> application state,UNKNOWN,none,not instrumented - predeclared out of scope (A9),no field on either platform reports application state,n/a,yes,not tested; nothing here is progress on this edge
X11 Case R,x11,R,6_appstate_to_claim,application state -> claim,UNKNOWN,none,never attempted,-,n/a,n/a,claim integrity is outside the display layer by construction
WAYLAND Case R,wayland,R,1_artifact_to_capture,artifact -> capture,EXACT,TRUSTED_RECORDER_OBSERVED,wlr-screencopy-unstable-v1 via grim,sha256=b73fe5968318934c363085499407d1b0e47b8ed606d03547c23a0cb7a723c44d bytes=31975 geometry=1280x1024,platform-native,no,capture path is mediated by the compositor; no client can read another client's buffer
WAYLAND Case R,wayland,R,2_capture_to_surface,capture -> surface,STRONG,COMPOSITOR (sway) via wlr-screencopy,output:HEADLESS-1,requested_source_type=output:HEADLESS-1; contributors=['7'] Standard portal offers WINDOW source: False (AvailableSourceTypes bitmask=1); the capture used here is output-scoped.,reconstructed,yes - the attacker chooses which surfaces exist and how they are stacked,"exactly one surface was enumerated at the capture instant, so the frame can only contain that surface's pixels - by elimination, not by a reported binding. CONTINGENT on the enumeration being COMPLETE: frozen result S2 already falsified that assumption for X11 (a nested Xephyr server makes inner surfaces invisible to the outer recorder), and the analogous nested-compositor attack was NOT tested on Wayland here"
WAYLAND Case R,wayland,R,3_surface_to_process,surface -> process/client,EXACT,COMPOSITOR (sway),"sway IPC `swaymsg -t get_tree` - COMPOSITOR-SPECIFIC IPC, not a Wayland protocol and not the xdg-desktop-portal API",active_surface=7 pid=392 pid_source=sway IPC get_tree (compositor-observed client pid) exe=/usr/bin/eog start_identity=392@6129 uid=1000,platform-native (compositor's own tree),"pid/exe: NO (cannot forge, but chooses what to launch); identity string: YES - platform reports 'eog', which the client asserts",compositor reports the owning client pid as a first-class field
WAYLAND Case R,wayland,R,4_process_to_resource,process/client -> displayed resource,WEAK,"KERNEL/RUNTIME (argv, fds) - NOT the compositor",/proc/<pid>/cmdline and /proc/<pid>/fd at the capture instant,argv='eog /lab/work/quarterly_report.png'; open_regular_files=['/memfd:wayland-cursor (deleted)']; declared_target=/lab/work/quarterly_report.png; compositor_reported_resource=None,reconstructed,yes - the attacker chooses argv and authors the bytes behind the path,"argv names the declared target path, which is a reconstruction the attacker fully controls; it is not evidence that those bytes were the pixels rendered"
WAYLAND Case R,wayland,R,5_resource_to_appstate,displayed resource -> application state,UNKNOWN,none,not instrumented - predeclared out of scope (A9),no field on either platform reports application state,n/a,yes,not tested; nothing here is progress on this edge
WAYLAND Case R,wayland,R,6_appstate_to_claim,application state -> claim,UNKNOWN,none,never attempted,-,n/a,n/a,claim integrity is outside the display layer by construction
