scenario_id,tier_config,ground_truth_class,analytic_verdict,empirical_verdict,agree,analytic_rule,empirical_rule,divergence_direction
02_tk_honest_title,SENS:no_resource_lineage_no_browser_url,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_surface_is_interpreter_not_target,R_displayed_resource_is_not_target,
03_tk_spoofed_identity,0,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
03_tk_spoofed_identity,0+A,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
03_tk_spoofed_identity,0+A+B,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_surface_is_interpreter_not_target,R5_no_display_fields_fullscreen,SUBSTITUTE->UNKNOWN
03_tk_spoofed_identity,0+A+B+C,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_surface_is_interpreter_not_target,R5_no_display_fields_fullscreen,SUBSTITUTE->UNKNOWN
03_tk_spoofed_identity,0+A+B+C+D,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_surface_is_interpreter_not_target,R_displayed_resource_is_not_target,
03_tk_spoofed_identity,0+A+B+C+D+E,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_surface_is_interpreter_not_target,R_displayed_resource_is_not_target,
03_tk_spoofed_identity,FULL(0+A..F),SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_surface_is_interpreter_not_target,R_displayed_resource_is_not_target,
03_tk_spoofed_identity,iso:D,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R3_no_identity_binding,R3_no_identity_binding,
03_tk_spoofed_identity,iso:B,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_surface_is_interpreter_not_target,R5_no_display_fields_fullscreen,SUBSTITUTE->UNKNOWN
03_tk_spoofed_identity,iso:C,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
03_tk_spoofed_identity,iso:E,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
03_tk_spoofed_identity,SENS:no_resource_lineage,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_surface_is_interpreter_not_target,R_displayed_resource_is_not_target,
03_tk_spoofed_identity,SENS:no_resource_lineage_no_browser_url,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_surface_is_interpreter_not_target,R_displayed_resource_is_not_target,
04_interpreter_argv_visible,0,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
04_interpreter_argv_visible,0+A,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
04_interpreter_argv_visible,0+A+B,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_surface_is_interpreter_not_target,R5_no_display_fields_fullscreen,SUBSTITUTE->UNKNOWN
04_interpreter_argv_visible,0+A+B+C,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_surface_is_interpreter_not_target,R5_no_display_fields_fullscreen,SUBSTITUTE->UNKNOWN
04_interpreter_argv_visible,0+A+B+C+D,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_surface_is_interpreter_not_target,R_surface_is_interpreter_not_target,
04_interpreter_argv_visible,0+A+B+C+D+E,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_surface_is_interpreter_not_target,R_surface_is_interpreter_not_target,
04_interpreter_argv_visible,FULL(0+A..F),SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_surface_is_interpreter_not_target,R_surface_is_interpreter_not_target,
04_interpreter_argv_visible,iso:D,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R3_no_identity_binding,R3_no_identity_binding,
04_interpreter_argv_visible,iso:B,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_surface_is_interpreter_not_target,R5_no_display_fields_fullscreen,SUBSTITUTE->UNKNOWN
04_interpreter_argv_visible,iso:C,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
04_interpreter_argv_visible,iso:E,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
04_interpreter_argv_visible,SENS:no_resource_lineage,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_surface_is_interpreter_not_target,R_surface_is_interpreter_not_target,
04_interpreter_argv_visible,SENS:no_resource_lineage_no_browser_url,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_surface_is_interpreter_not_target,R_surface_is_interpreter_not_target,
04b_interpreter_argv_hidden,0,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
04b_interpreter_argv_hidden,0+A,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
04b_interpreter_argv_hidden,0+A+B,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_surface_is_interpreter_not_target,R5_no_display_fields_fullscreen,SUBSTITUTE->UNKNOWN
04b_interpreter_argv_hidden,0+A+B+C,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_surface_is_interpreter_not_target,R5_no_display_fields_fullscreen,SUBSTITUTE->UNKNOWN
04b_interpreter_argv_hidden,0+A+B+C+D,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_surface_is_interpreter_not_target,R_surface_is_interpreter_not_target,
04b_interpreter_argv_hidden,0+A+B+C+D+E,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_surface_is_interpreter_not_target,R_surface_is_interpreter_not_target,
04b_interpreter_argv_hidden,FULL(0+A..F),SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_surface_is_interpreter_not_target,R_surface_is_interpreter_not_target,
04b_interpreter_argv_hidden,iso:D,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R3_no_identity_binding,R3_no_identity_binding,
04b_interpreter_argv_hidden,iso:B,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_surface_is_interpreter_not_target,R5_no_display_fields_fullscreen,SUBSTITUTE->UNKNOWN
04b_interpreter_argv_hidden,iso:C,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
04b_interpreter_argv_hidden,iso:E,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
04b_interpreter_argv_hidden,SENS:no_resource_lineage,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_surface_is_interpreter_not_target,R_surface_is_interpreter_not_target,
04b_interpreter_argv_hidden,SENS:no_resource_lineage_no_browser_url,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_surface_is_interpreter_not_target,R_surface_is_interpreter_not_target,
06_target_killed_before_capture,0,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
06_target_killed_before_capture,0+A,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
06_target_killed_before_capture,0+A+B,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_surface_is_interpreter_not_target,R5_no_display_fields_fullscreen,SUBSTITUTE->UNKNOWN
06_target_killed_before_capture,0+A+B+C,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_surface_is_interpreter_not_target,R5_no_display_fields_fullscreen,SUBSTITUTE->UNKNOWN
06_target_killed_before_capture,0+A+B+C+D,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_surface_is_interpreter_not_target,R5_composite_frame,SUBSTITUTE->UNKNOWN
06_target_killed_before_capture,0+A+B+C+D+E,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_surface_is_interpreter_not_target,R5_composite_frame,SUBSTITUTE->UNKNOWN
06_target_killed_before_capture,FULL(0+A..F),SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_surface_is_interpreter_not_target,R5_composite_frame,SUBSTITUTE->UNKNOWN
06_target_killed_before_capture,iso:D,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R3_no_identity_binding,R5_composite_frame,
06_target_killed_before_capture,iso:B,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_surface_is_interpreter_not_target,R5_no_display_fields_fullscreen,SUBSTITUTE->UNKNOWN
06_target_killed_before_capture,iso:C,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
06_target_killed_before_capture,iso:E,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
06_target_killed_before_capture,SENS:no_resource_lineage,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_surface_is_interpreter_not_target,R5_composite_frame,SUBSTITUTE->UNKNOWN
06_target_killed_before_capture,SENS:no_resource_lineage_no_browser_url,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_surface_is_interpreter_not_target,R5_composite_frame,SUBSTITUTE->UNKNOWN
07_overlay_above_target,0,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
07_overlay_above_target,0+A,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
07_overlay_above_target,0+A+B,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R5_no_display_fields_fullscreen,R5_no_display_fields_fullscreen,
07_overlay_above_target,0+A+B+C,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R5_no_display_fields_fullscreen,R5_no_display_fields_fullscreen,
07_overlay_above_target,0+A+B+C+D,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_surface_is_interpreter_not_target,R5_composite_frame,SUBSTITUTE->UNKNOWN
07_overlay_above_target,0+A+B+C+D+E,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_surface_is_interpreter_not_target,R5_composite_frame,SUBSTITUTE->UNKNOWN
07_overlay_above_target,FULL(0+A..F),SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_surface_is_interpreter_not_target,R5_composite_frame,SUBSTITUTE->UNKNOWN
07_overlay_above_target,iso:D,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R3_no_identity_binding,R5_composite_frame,
07_overlay_above_target,iso:B,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R5_no_display_fields_fullscreen,R5_no_display_fields_fullscreen,
07_overlay_above_target,iso:C,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
07_overlay_above_target,iso:E,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
07_overlay_above_target,SENS:no_resource_lineage,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_surface_is_interpreter_not_target,R5_composite_frame,SUBSTITUTE->UNKNOWN
07_overlay_above_target,SENS:no_resource_lineage_no_browser_url,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_surface_is_interpreter_not_target,R5_composite_frame,SUBSTITUTE->UNKNOWN
08_composite_frame,0,AMBIGUOUS,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
08_composite_frame,0+A,AMBIGUOUS,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
08_composite_frame,0+A+B,AMBIGUOUS,UNKNOWN,UNKNOWN,True,R5_no_display_fields_fullscreen,R5_no_display_fields_fullscreen,
08_composite_frame,0+A+B+C,AMBIGUOUS,UNKNOWN,UNKNOWN,True,R5_no_display_fields_fullscreen,R5_no_display_fields_fullscreen,
08_composite_frame,0+A+B+C+D,AMBIGUOUS,UNKNOWN,UNKNOWN,True,R5_composite_frame,R5_composite_frame,
08_composite_frame,0+A+B+C+D+E,AMBIGUOUS,UNKNOWN,UNKNOWN,True,R5_composite_frame,R5_composite_frame,
08_composite_frame,FULL(0+A..F),AMBIGUOUS,UNKNOWN,UNKNOWN,True,R5_composite_frame,R5_composite_frame,
08_composite_frame,iso:D,AMBIGUOUS,UNKNOWN,UNKNOWN,True,R5_composite_frame,R5_composite_frame,
08_composite_frame,iso:B,AMBIGUOUS,UNKNOWN,UNKNOWN,True,R5_no_display_fields_fullscreen,R5_no_display_fields_fullscreen,
08_composite_frame,iso:C,AMBIGUOUS,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
08_composite_frame,iso:E,AMBIGUOUS,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
08_composite_frame,SENS:no_resource_lineage,AMBIGUOUS,UNKNOWN,UNKNOWN,True,R5_composite_frame,R5_composite_frame,
08_composite_frame,SENS:no_resource_lineage_no_browser_url,AMBIGUOUS,UNKNOWN,UNKNOWN,True,R5_composite_frame,R5_composite_frame,
11_direct_synthesis,0,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
11_direct_synthesis,0+A,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
11_direct_synthesis,0+A+B,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_no_capture_edge,R5_no_display_fields_fullscreen,SUBSTITUTE->UNKNOWN
11_direct_synthesis,0+A+B+C,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_no_capture_edge,R5_no_display_fields_fullscreen,SUBSTITUTE->UNKNOWN
11_direct_synthesis,0+A+B+C+D,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_no_capture_edge,R_no_capture_edge,
11_direct_synthesis,0+A+B+C+D+E,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_no_capture_edge,R_no_capture_edge,
11_direct_synthesis,FULL(0+A..F),SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_no_capture_edge,R_no_capture_edge,
11_direct_synthesis,iso:D,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_no_capture_edge,R_no_capture_edge,
11_direct_synthesis,iso:B,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_no_capture_edge,R5_no_display_fields_fullscreen,SUBSTITUTE->UNKNOWN
11_direct_synthesis,iso:C,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
11_direct_synthesis,iso:E,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
11_direct_synthesis,SENS:no_resource_lineage,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_no_capture_edge,R_no_capture_edge,
11_direct_synthesis,SENS:no_resource_lineage_no_browser_url,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_no_capture_edge,R_no_capture_edge,
12_capture_of_agent_renderer,0,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
12_capture_of_agent_renderer,0+A,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
12_capture_of_agent_renderer,0+A+B,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R5_no_display_fields_fullscreen,R5_no_display_fields_fullscreen,
12_capture_of_agent_renderer,0+A+B+C,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R5_no_display_fields_fullscreen,R5_no_display_fields_fullscreen,
12_capture_of_agent_renderer,0+A+B+C+D,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_surface_is_interpreter_not_target,R_surface_is_interpreter_not_target,
12_capture_of_agent_renderer,0+A+B+C+D+E,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_surface_is_interpreter_not_target,R_surface_is_interpreter_not_target,
12_capture_of_agent_renderer,FULL(0+A..F),SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_surface_is_interpreter_not_target,R_surface_is_interpreter_not_target,
12_capture_of_agent_renderer,iso:D,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R3_no_identity_binding,R3_no_identity_binding,
12_capture_of_agent_renderer,iso:B,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R5_no_display_fields_fullscreen,R5_no_display_fields_fullscreen,
12_capture_of_agent_renderer,iso:C,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
12_capture_of_agent_renderer,iso:E,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
12_capture_of_agent_renderer,SENS:no_resource_lineage,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_surface_is_interpreter_not_target,R_surface_is_interpreter_not_target,
12_capture_of_agent_renderer,SENS:no_resource_lineage_no_browser_url,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_surface_is_interpreter_not_target,R_surface_is_interpreter_not_target,
13_viewer_agent_image_argv,0,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
13_viewer_agent_image_argv,0+A,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
13_viewer_agent_image_argv,0+A+B,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_displayed_resource_is_not_target,R5_no_display_fields_fullscreen,SUBSTITUTE->UNKNOWN
13_viewer_agent_image_argv,0+A+B+C,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_displayed_resource_is_not_target,R5_no_display_fields_fullscreen,SUBSTITUTE->UNKNOWN
13_viewer_agent_image_argv,0+A+B+C+D,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_displayed_resource_is_not_target,R_displayed_resource_is_not_target,
13_viewer_agent_image_argv,0+A+B+C+D+E,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_displayed_resource_is_not_target,R_displayed_resource_is_not_target,
13_viewer_agent_image_argv,FULL(0+A..F),SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_displayed_resource_is_not_target,R_displayed_resource_is_not_target,
13_viewer_agent_image_argv,iso:D,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R3_no_identity_binding,R3_no_identity_binding,
13_viewer_agent_image_argv,iso:B,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_displayed_resource_is_not_target,R5_no_display_fields_fullscreen,SUBSTITUTE->UNKNOWN
13_viewer_agent_image_argv,iso:C,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
13_viewer_agent_image_argv,iso:E,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
13_viewer_agent_image_argv,SENS:no_resource_lineage,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_displayed_resource_is_not_target,R_displayed_resource_is_not_target,
13_viewer_agent_image_argv,SENS:no_resource_lineage_no_browser_url,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_displayed_resource_is_not_target,R_displayed_resource_is_not_target,
13b_viewer_agent_image_hidden,0,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
13b_viewer_agent_image_hidden,0+A,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
13b_viewer_agent_image_hidden,0+A+B,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R4_displayed_resource_unknown,R5_no_display_fields_fullscreen,
13b_viewer_agent_image_hidden,0+A+B+C,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R4_displayed_resource_unknown,R5_no_display_fields_fullscreen,
13b_viewer_agent_image_hidden,0+A+B+C+D,SUBSTITUTE,UNKNOWN,AUTHENTIC_TARGET,False,R4_displayed_resource_unknown,R_displayed_resource_is_target,UNKNOWN->AUTHENTIC_TARGET
13b_viewer_agent_image_hidden,0+A+B+C+D+E,SUBSTITUTE,UNKNOWN,AUTHENTIC_TARGET,False,R4_displayed_resource_unknown,R_displayed_resource_is_target,UNKNOWN->AUTHENTIC_TARGET
13b_viewer_agent_image_hidden,FULL(0+A..F),SUBSTITUTE,UNKNOWN,AUTHENTIC_TARGET,False,R4_displayed_resource_unknown,R_displayed_resource_is_target,UNKNOWN->AUTHENTIC_TARGET
13b_viewer_agent_image_hidden,iso:D,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R3_no_identity_binding,R3_no_identity_binding,
13b_viewer_agent_image_hidden,iso:B,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R4_displayed_resource_unknown,R5_no_display_fields_fullscreen,
13b_viewer_agent_image_hidden,iso:C,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
13b_viewer_agent_image_hidden,iso:E,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
13b_viewer_agent_image_hidden,SENS:no_resource_lineage,SUBSTITUTE,UNKNOWN,AUTHENTIC_TARGET,False,R4_displayed_resource_unknown,R_displayed_resource_is_target,UNKNOWN->AUTHENTIC_TARGET
13b_viewer_agent_image_hidden,SENS:no_resource_lineage_no_browser_url,SUBSTITUTE,UNKNOWN,AUTHENTIC_TARGET,False,R4_displayed_resource_unknown,R_displayed_resource_is_target,UNKNOWN->AUTHENTIC_TARGET
S3_prestaged_renderer,0,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
S3_prestaged_renderer,0+A,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
S3_prestaged_renderer,0+A+B,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_surface_is_interpreter_not_target,R5_no_display_fields_fullscreen,SUBSTITUTE->UNKNOWN
S3_prestaged_renderer,0+A+B+C,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_surface_is_interpreter_not_target,R5_no_display_fields_fullscreen,SUBSTITUTE->UNKNOWN
S3_prestaged_renderer,0+A+B+C+D,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_surface_is_interpreter_not_target,R_surface_is_interpreter_not_target,
S3_prestaged_renderer,0+A+B+C+D+E,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_surface_is_interpreter_not_target,R_surface_is_interpreter_not_target,
S3_prestaged_renderer,FULL(0+A..F),SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_surface_is_interpreter_not_target,R_surface_is_interpreter_not_target,
S3_prestaged_renderer,iso:D,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R3_no_identity_binding,R3_no_identity_binding,
S3_prestaged_renderer,iso:B,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_surface_is_interpreter_not_target,R5_no_display_fields_fullscreen,SUBSTITUTE->UNKNOWN
S3_prestaged_renderer,iso:C,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
S3_prestaged_renderer,iso:E,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
S3_prestaged_renderer,SENS:no_resource_lineage,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_surface_is_interpreter_not_target,R_surface_is_interpreter_not_target,
